run,x1,x2,x3,score
0,0.055827205730053446,0.4618740665926309,7.112705001150527,0.01311785033294522
1,0.05,0.31088574374098427,15.0,0.013212644108991834
2,0.05364294256885287,0.4014026149596,9.496887169204504,0.01327962014433752
3,0.05,0.3144126399490918,15.0,0.013362537197836404
4,0.05195620624182761,0.35667728976362045,15.0,0.016368136702521432
5,0.052869146774964355,0.385381219259818,9.81843881164095,0.012730787255956345
6,0.05304786435315875,0.36478864079623863,12.652089058401502,0.01504099839150675
7,0.05786688903299503,0.3810695719478696,15.0,0.0216926926730885
8,0.05,0.31625982259723934,14.477447762864191,0.01302788676584677
9,0.05141382759002298,0.3392369971681774,13.039546915141697,0.013486455906849873
10,0.05581467198897075,0.39551336298682105,13.605100396089945,0.019227573583367016
11,0.05033483869431443,0.32324783304074745,15.0,0.013922650010781773
12,0.05,0.3115341096912804,15.0,0.01324019966187942
13,0.05154972537890837,0.350640499030423,11.776849913488505,0.012837034693304992
14,0.054925504263362,0.4085918767138942,11.501921236650965,0.016643068624702044
15,0.05109013897201446,0.32956376553337274,14.644504680401619,0.01431807061754028
16,0.060701304870876674,0.5828625295244588,4.947159720831199,0.014920022379176386
17,0.058594717497708865,0.5216618221467592,5.965948041629592,0.01426735451975673
18,0.05320317615055065,0.38508854439817275,10.66427018503061,0.013804347597680061
19,0.057103074951602315,0.4189829659352587,11.216061685657781,0.018055828221412926
20,0.05360820750785848,0.35332313766404444,15.0,0.017261700293719047
21,0.051547008407799355,0.34284795305558197,15.0,0.015486647504353935
22,0.058251661733192586,0.5184439018836186,5.97515827577986,0.014030001556076092
23,0.052162602519469234,0.3678073082264111,10.727774497606948,0.012737709177192993
24,0.05,0.31352078625095287,15.0,0.0133246334156655
25,0.05163545009477357,0.3508846196777682,11.947723186115226,0.013048590013074353
26,0.05148257663998718,0.3434466761672514,13.157263687539984,0.013797508588009188
27,0.06254124461700125,0.667615276682492,4.273996924108847,0.016383383860698958
28,0.054146582927237626,0.36546068255361075,12.940536521350243,0.016008438185298953
29,0.05,0.3134131291690455,15.0,0.013320057989684437
